name,lastrevid
Shahjahan Noori,1099689043
Abdul Ghafar Lakanwal,943562276
Majah Ha Adrif,852404094
Haroon al-Afghani,1095102390
Tayyab Agha,1104998382
Ahmadullah Wasiq,1109361754
Aziza Ahmadyar,1087211008
Muqadasa Ahmadzai,1082489593
Mohammad Sarwar Ahmedzai,1038918070
Amir Muhammad Akhundzada,1069322182
Nasrullah Baryalai Arsalai,1095526840
Mohammad Asim Asim,1013838830
Atiqullah Atifmal,1112407669
Abdul Rahim Ayoubi,1108886061
Alhaj Mutalib Baig,1111494041
Ismael Balkhi,1112534409
Abdul Baqi Turkistani,889226470
Mohammad Ghous Bashiri,1102150221
Abas Basir,1098419766
Jan Baz,997027082
Ahmad Behzad,1103948295
Bashir Ahmad Bezan,1060707209
Rafiullah Bidar,977208323
Mohammad Siddiq Chakari,1105913099
Cheragh Ali Cheragh,1087211968
Nasir Ahmad Durrani,988838315
Elay Ershad,1102489654
Muhammad Hashim Esmatullahi,949986748
Ezatullah (Nangarhar),947885788
Aimal Faizi,1033383351
Mohammad Nasim Faqiri,1098051193
Mohammad Nazar Faqiri,1095525798
Sharif Ghalib,1041460606
Hashmat Ghani Ahmadzai,1112933356
Abdul Ghani Ghani,1072441893
Ashraf Ghani,1113195582
Abdul Samad Ghaus,1072271854
Ghulam Ghaus,1115758710
Ghulam Muhammad Ghobar,1108886395
Mohammad Gul (Helmand Council),1092523687
Ghulam Haider Hamidi,1095018556
Rangina Hamidi,1104280812
Abdul Malik Hamwar,1100874645
Sayed Zafar Hashemi,1112804808
Qutbuddin Hilal,1104423275
Shahnaz Himmeti,909966254
Anarkali Kaur Honaryar,1069574154
Mahboba Hoqomal,1092518990
Musa Hotak,1094201417
Mirza Muhammad Ismail,1073524466
Sayed Jalal,1078580238
Said Tayeb Jawad,1093621927
Faizullah Kakar,1108932917
Amin Karim,1106333491
Sayed Jalal Karim,1060701067
Ahmed Wali Karzai,1090245979
Khadija Zahra Ahmadi,1115331693
Hafizullah Shabaz Khail,1092416288
Rouh Gul Khairzad,925562571
Masoud Khalili,1103105365
Mohammad Khan (athlete),1070779097
Samoud Khan,1010948755
Farzana Kochai,1079430136
Farida Kuchi,1109436134
Baran Khan Kudezai,1106151353
Azizullah Lodin,1102817004
Razaq Mamoon,1100189662
Fazel Ahmed Manawi,1106464575
Moeen Marastial,1102907176
Ahmad Massoud,1112608262
Ahmad Wali Massoud,1108236868
Mohammad Daud Miraki,1112192884
Abdul Sattar Mirzakwal,1044450376
Abdul Karim Misaq,1052669338
Ali Mohammad (politician),1050463798
Nasruddin Mohseni,1095044526
Davood Moradian,1106284627
Zalmai Mujadidi,1104635001
Fazal Haq Mujahid,1113267490
Rahmatullah Nabil,1112496538
Sardar Mohammad Nadir Naeem,1038680015
Daoud Naji,1110983467
Gholam Rabani Nasher,916899472
Muhammad Yunus Nawandish,1111494390
Ali Maisam Nazary,1107279930
Ghulam Faroq Nijrabi,1093612575
Zabih-U-llah Ghazi Noristani,1001786762
Mohammed Tahir Omar,996093541
Nasrin Oryakhil,1097277701
Murad Quenili,1093963498
Ghulam Mohammad Rigi,918256992
Ghulam Hassan Safi,987269301
Hanifa Safi,994195074
Amrullah Saleh,1115022704
Mohammed Zia Salehi,889806024
Abdul Majid Samim,1098092701
Saber Sangar,1019860497
Muhammad Arif Sarwari,1079170926
Sayed Nasim Mihanparast,1115496635
Sayyid Husayn,1095559301
Suhail Shaheen,1102910228
Mohammad Shakir Kargar,1096574840
Baktash Siawash,1111917754
Awtar Singh,1115100619
Hasan Ali Sultani,1060706902
Faramarz Tamanna,1106885861
Mohammad Hashem Taufiqui,1021308429
